fishNumber	genus_species
945	Trimma_flavicaudatum
946	Trimma_mendelssohni
947	Trimma_sheppardi
948	Trimma_taylori
949	Trimma_tevegae
950	Trimmatom_nanus
951	Valenciennea_helsdingenii
952	Valenciennea_puellaris
953	Valenciennea_sexguttata
954	Valenciennea_wardii
955	Vanderhorstia_ambanoro
956	Vanderhorstia_delagoae
957	Vanderhorstia_mertensi
958	Vanderhorstia_opercularis
959	Vanderhorstia_ornatissima
960	Gunnellichthys_monostigma
961	Paragunnellichthys_springeri
962	Nemateleotris_decora
963	Ptereleotris_arabica
964	Ptereleotris_evides
965	Ptereleotris_heteroptera
966	Ptereleotris_microlepis
967	Ptereleotris_zebra
968	Kraemeria_samoensis
969	Xenisthmus_polyzonatus
970	Schindleria_sp
971	Acanthurus_gahhm
972	Acanthurus_mata
